@relation out

@attribute Airline {US,AA,AS,CO,DL,B6,HA,OO,9E,OH,EV,XE,YV,UA,MQ,FL,F9,WN}
@attribute Flight numeric
@attribute AirportFrom {'PHX','LAX','SFO','ANC','LAS','SLC','DEN','ONT','FAI','BQN','PSE','HNL','BIS','IYK','EWR','BOS','MKE','GFK','OMA','GSO','LMT','SEA','MCO','TPA','DLH','MSP','FAR','MFE','MSY','VPS','BWI','MAF','LWS','RST','ALB','DSM','CHS','MSN','JAX','SAT','PNS','BHM','LIT','SAV','BNA','ICT','ECP','DHN','MGM','CAE','PWM','ACV','EKO','PHL','ATL','PDX','RIC','BTR','HRL','MYR','TUS','SBN','CAK','TVC','CLE','ORD','DAY','MFR','BTV','TLH','TYS','DFW','FLL','AUS','CHA','CMH','LRD','BRO','CRP','LAN','PVD','FWA','JFK','LGA','OKC','PIT','PBI','ORF','DCA','AEX','SYR','SHV','VLD','BDL','FAT','BZN','RDM','LFT','IPL','EAU','ERI','BUF','IAH','MCI','AGS','ABI','GRR','LBB','CLT','LEX','MBS','MOD','AMA','SGF','AZO','ABE','SWF','BGM','AVP','FNT','GSP','ATW','ITH','TUL','COS','ELP','ABQ','SMF','STL','IAD','DTW','RDU','RSW','OAK','ROC','IND','CVG','MDW','SDF','ABY','TRI','XNA','ROA','MLI','LYH','EVV','HPN','FAY','EWN','CSG','GPT','MLU','MOB','OAJ','CHO','ILM','BMI','PHF','ACY','JAN','CID','GRK','HOU','CRW','HTS','PSC','BOI','SBP','CLD','PSP','SBA','MEM','MRY','GEG','RDD','PAH','CMX','SPI','EUG','CIC','PIH','SGU','COD','MIA','MHT','GRB','FSD','SJU','AVL','BFL','RAP','DRO','PIA','OGG','SIT','TXK','RNO','DAL','SCE','MEI','MDT','FCA','SJC','KOA','PLN','SAN','GNV','HLN','GJT','CPR','FSM','CMI','GTF','HDN','ITO','MTJ','HSV','BTM','BIL','COU','MSO','SMX','TWF','ISP','GCC','LIH','LNK','DAB','SNA','MQT','LGB','CWA','LSE','BUR','ACT','MHK','MOT','IDA','SUN','GTR','MLB','SRQ','JAC','ASE','LCH','JNU','ROW','BQK','YUM','FLG','EGE','GUC','EYW','RKS','BGR','ELM','ADQ','OTZ','OTH','STT','KTN','BET','SJT','CDC','CEC','SPS','SCC','STX','OME','MKG','WRG','TYR','BRW','GGG','PSG','BKG','YAK','CLL','SAF','CYS','LWB','CDV','FLO','BLI','DBQ','TOL','UTM','PIE','ADK','ABR','TEX','MMH','GUM'}
@attribute AirportTo {'CLT','DFW','SEA','IAH','MSP','DTW','ORD','ATL','PDX','JFK','SLC','HNL','PHX','MCO','OGG','LAX','KOA','ITO','SFO','MIA','IAD','SMF','PHL','LIH','DEN','LGA','MEM','CVG','YUM','CWA','MKE','BQN','FAI','LAS','ANC','BOS','LGB','FLL','SJU','EWR','DCA','BWI','RDU','MCI','TYS','SAN','ONT','OAK','MDW','BNA','DAL','CLE','JAX','JNU','RNO','ELP','SAT','OTZ','MBS','BDL','STL','HOU','AUS','SNA','SJC','LIT','TUS','TUL','CMH','LAN','IND','AMA','CRP','PIT','RKS','FWA','TPA','PBI','JAN','DSM','ADQ','GRB','PVD','ABQ','SDF','RSW','MSY','BUR','BOI','TLH','BHM','ACV','ORF','BET','KTN','RIC','SRQ','BTR','XNA','MHT','GRR','SBN','SBA','ROA','CID','GPT','MFR','SGU','HPN','OMA','OTH','GSP','LMT','BUF','MSN','BFL','CAE','HRL','OKC','SYR','COS','BTV','CDC','SCC','DAY','SJT','TVC','ROC','ISP','MRY','SBP','MLI','MOB','CIC','SAV','FAT','EKO','GEG','ECP','LFT','SUN','HSV','SHV','CHA','CAK','BZN','MAF','GSO','MDT','PHF','ICT','AZO','RAP','CHS','CLD','MKG','VPS','PIH','ATW','AGS','PNS','BIL','SPI','FAR','CPR','PIA','SPS','TWF','LBB','ALB','CEC','DRO','GJT','GNV','RST','AVL','GRK','PSP','LEX','TRI','SGF','FSM','RDD','OME','MFE','LSE','BMI','MYR','FAY','FSD','EUG','MGM','EVV','MLB','FNT','STT','WRG','ABE','BIS','MOT','MLU','GFK','RDM','COU','LRD','PSC','MOD','PWM','ILM','ABY','CRW','TXK','BRO','BRW','EYW','DAB','ROW','ABI','EAU','TYR','MSO','FLG','CSG','VLD','DHN','OAJ','AEX','CHO','SAF','GGG','FCA','ASE','BKG','MHK','LNK','MQT','YAK','GTR','SMX','SWF','ITH','AVP','ELM','BGM','SIT','PSG','CYS','CLL','SCE','LWB','LCH','GCC','IYK','LWS','COD','HLN','BQK','GTF','DLH','BTM','EGE','IDA','JAC','HDN','MTJ','CMX','CMI','CDV','LYH','ACT','STX','IPL','PAH','HTS','MEI','BLI','ERI','EWN','FLO','ACY','DBQ','TOL','GUC','PLN','BGR','PSE','PIE','UTM','ADK','ABR','TEX','MMH','GUM'}
@attribute DayOfWeek {1,2,3,4,5,6,7}
@attribute Time numeric
@attribute Length numeric
@attribute Delay {0,1}

@data
AA,370,ORD,LGA,4,795,125,0
AA,481,DEN,DFW,4,795,115,1
AA,499,BDL,DFW,4,795,250,0
AA,745,LGA,DFW,4,795,250,0
AS,37,MSP,SEA,4,795,220,1
AS,76,JNU,SEA,4,795,134,1
B6,461,BOS,RSW,4,795,212,1
B6,505,EWR,FLL,4,795,176,1
B6,83,JFK,SEA,4,795,374,0
CO,146,IAH,ORD,4,795,153,0
CO,1581,SEA,ANC,4,795,219,1
CO,1757,IAH,ATL,4,795,121,0
CO,206,IAH,TPA,4,795,125,0
CO,482,IAH,BOS,4,795,218,1
DL,1222,RNO,SLC,4,795,83,1
DL,1482,JAC,SLC,4,795,63,1
DL,2029,MSP,TPA,4,795,189,0
DL,2110,DFW,ATL,4,795,121,0
DL,2774,MSP,MEM,4,795,122,0
EV,7395,PHL,CVG,4,795,116,0
MQ,2705,DFW,ROW,4,795,95,0
MQ,2806,DFW,GSO,4,795,145,0
MQ,2855,DFW,HOU,4,795,70,0
MQ,3003,DEN,LAX,4,795,150,1
MQ,3374,CVG,DFW,4,795,165,1
MQ,3809,ABQ,ORD,4,795,160,1
MQ,3994,RST,ORD,4,795,75,0
MQ,4052,CMI,ORD,4,795,65,1
MQ,4540,CMH,LGA,4,795,105,1
OH,6747,RIC,JFK,4,795,85,0
OO,4777,PSC,SLC,4,795,90,0
OO,6231,PDX,EUG,4,795,36,0
OO,6919,ORD,DLH,4,795,87,1
OO,6932,ORD,PAH,4,795,80,0
OO,6947,SEA,PDX,4,795,48,1
OO,7789,SUN,SLC,4,795,67,0
UA,702,BOS,ORD,4,795,169,0
US,1168,CLT,PIT,4,795,83,0
US,1177,CLT,JAX,4,795,81,0
US,1178,CLT,BWI,4,795,83,0
US,1242,PHX,DCA,4,795,248,0
US,1453,CLT,MSY,4,795,123,0
US,1675,CLT,MIA,4,795,123,1
US,204,PHX,ABQ,4,795,71,0
US,488,PHX,DEN,4,795,109,0
US,586,PHX,LAS,4,795,71,0
US,592,PHX,MCI,4,795,152,0
US,612,PHX,ATL,4,795,215,1
US,62,CLT,BOS,4,795,125,0
US,970,PHL,BOS,4,795,73,0
WN,1072,SEA,ABQ,4,795,165,0
WN,1113,LGA,MDW,4,795,155,1
WN,1121,BWI,CMH,4,795,80,0
WN,1181,HOU,PHX,4,795,175,1
WN,146,OAK,LAS,4,795,85,1
WN,1594,RNO,DEN,4,795,130,0
WN,2450,TUS,LAS,4,795,80,1
WN,324,MCI,MDW,4,795,80,0
WN,3851,STL,FLL,4,795,160,1
WN,442,SFO,MDW,4,795,255,0
WN,505,SAN,PHX,4,795,70,0
WN,740,LAS,STL,4,795,190,0
WN,826,LAS,PDX,4,795,140,0
WN,863,MDW,RSW,4,795,175,1
XE,2366,CVG,EWR,4,795,123,0
XE,2866,MKE,EWR,4,795,137,0
XE,2894,CRP,IAH,4,795,65,0
XE,3056,IAH,VPS,4,795,88,0
YV,2766,PHX,SAT,4,795,127,0
9E,3876,OKC,ATL,4,796,121,0
B6,1758,SJU,FLL,4,796,164,1
FL,366,ATL,LGA,4,796,121,0
FL,433,MKE,ATL,4,796,121,0
OO,6260,SPI,ORD,4,796,58,0
OO,7030,MLI,ORD,4,796,55,1
UA,16,ORD,BWI,4,796,114,0
OO,6972,LAX,SEA,4,797,164,0
UA,332,SMF,ORD,4,797,243,0
UA,444,ORD,MDT,4,797,104,0
XE,2250,PVD,EWR,4,797,88,1
FL,227,MKE,LGA,4,798,121,0
FL,861,ATL,MCO,4,798,89,0
OO,6541,BIS,DEN,4,798,102,0
B6,685,BOS,DCA,4,799,101,0
CO,519,TPA,EWR,4,799,160,1
9E,3814,MSP,CLE,4,800,117,0
9E,3981,CVG,MSP,4,800,130,0
9E,3986,MSP,IND,4,800,111,0
9E,4120,PHF,ATL,4,800,124,0
AA,1119,DCA,MIA,4,800,160,1
AA,1475,DFW,LAS,4,800,190,1
AA,1763,MIA,ORD,4,800,200,0
AA,1786,TPA,JFK,4,800,160,1
AA,1832,PSP,ORD,4,800,245,0
AA,2256,SNA,DFW,4,800,170,0
AA,2433,DFW,LAX,4,800,205,1
AA,589,RIC,DFW,4,800,210,0
B6,693,DCA,MCO,4,800,134,0
CO,1083,BOS,IAH,4,800,262,1
CO,1092,IAH,CMH,4,800,149,0
CO,1183,EWR,ORD,4,800,150,0
CO,433,LGA,IAH,4,800,243,1
CO,476,SJU,EWR,4,800,250,1
CO,534,IAH,PIT,4,800,155,1
DL,182,SEA,JFK,4,800,325,0
DL,2238,ATL,DCA,4,800,99,0
DL,2768,SEA,ATL,4,800,285,1
F9,428,DEN,ATL,4,800,168,0
F9,777,DEN,LAS,4,800,112,1
FL,1943,FLL,ATL,4,800,119,0
MQ,2736,LBB,DFW,4,800,65,0
MQ,2779,DFW,GSP,4,800,130,1
MQ,2811,DFW,AMA,4,800,70,1
MQ,3992,XNA,ORD,4,800,105,0
MQ,4225,GRB,ORD,4,800,65,0
MQ,4330,ORD,CVG,4,800,75,0
MQ,4371,OMA,ORD,4,800,95,0
OH,6692,JFK,ROC,4,800,95,0
OH,6726,CLT,CVG,4,800,105,0
OO,4457,BIL,MSP,4,800,119,0
OO,4483,MSP,DSM,4,800,75,0
OO,4598,MOT,MSP,4,800,90,0
OO,4785,SDF,MSP,4,800,125,1
OO,6275,SEA,GEG,4,800,58,0
OO,6386,BUR,SFO,4,800,76,1
OO,6430,LAS,LAX,4,800,80,0
UA,138,DEN,LGA,4,800,219,0
UA,892,SFO,BOS,4,800,340,0
US,1427,DTW,CLT,4,800,108,0
US,1435,CLT,ATL,4,800,82,0
US,399,CLT,LAS,4,800,298,0
US,5,PHX,ORD,4,800,201,1
US,680,CLT,EWR,4,800,114,0
US,685,PHX,EWR,4,800,280,0
US,704,PHX,CLT,4,800,234,1
WN,1027,MSY,TPA,4,800,85,0
WN,1118,BWI,BNA,4,800,120,1
WN,1174,AUS,HOU,4,800,45,1
WN,1199,MDW,OMA,4,800,90,1
WN,1202,FLL,BDL,4,800,185,0
WN,1289,PHX,SAT,4,800,125,0
WN,2353,DEN,MCO,4,800,210,0
WN,2453,ONT,PHX,4,800,65,1
WN,249,SAT,DAL,4,800,60,0
WN,24,DAL,BHM,4,800,90,1
WN,3762,SAN,LAS,4,800,70,1
WN,861,BOS,PHL,4,800,100,0
XE,2593,IAH,OMA,4,800,128,1
XE,2629,IAH,GSP,4,800,120,0
XE,2670,ORF,EWR,4,800,87,0
YV,2609,CLT,BNA,4,800,90,0
YV,2696,LAX,LAS,4,800,65,0
EV,5185,ATL,SDF,4,801,78,1
FL,716,CAK,MCO,4,801,145,0
OH,6298,CVG,DTW,4,801,84,0
OO,6242,OMA,DEN,4,801,96,0
OO,6327,SAN,LAX,4,801,44,1
OO,6349,CWA,ORD,4,801,68,1
XE,2115,BTV,EWR,4,801,99,1
DL,1699,PIT,ATL,4,802,123,0
DL,2108,DEN,MSP,4,802,115,0
EV,5593,ELP,ATL,4,802,177,1
OH,6567,CLE,DTW,4,802,58,0
UA,464,PDX,ORD,4,802,238,0
UA,82,HNL,LAX,4,802,322,0
DL,1790,SAT,ATL,4,803,135,0
DL,1946,FLL,MSP,4,803,246,0
FL,201,ATL,CAK,4,803,95,0
FL,451,MSY,ATL,4,803,81,0
OO,6632,SGF,DEN,4,803,131,0
AS,152,OME,OTZ,4,804,44,0
DL,2528,SRQ,ATL,4,804,101,0
OH,6443,BDL,CVG,4,804,146,0
UA,408,SNA,DEN,4,804,139,1
9E,4399,MSP,GRR,4,805,90,0
AA,1211,DTW,DFW,4,805,175,0
AA,1935,CMH,DFW,4,805,175,1
AA,2023,MCI,DFW,4,805,95,0
AA,2465,BOS,DFW,4,805,265,0
AA,402,DFW,CLT,4,805,135,0
AA,841,SJU,MIA,4,805,165,0
AA,939,RDU,MIA,4,805,130,0
AS,569,LAX,PDX,4,805,143,0
B6,1122,FLL,RIC,4,805,129,1
B6,32,JFK,ROC,4,805,77,1
CO,1548,IAH,FLL,4,805,144,0
CO,323,IAH,MSY,4,805,67,1
CO,379,IAH,SAT,4,805,58,0
DL,1806,LAX,DTW,4,805,270,1
DL,1830,PDX,SLC,4,805,105,1
DL,1836,IND,DTW,4,805,70,0
EV,5217,ATL,JAN,4,805,79,1
EV,5224,MOB,ATL,4,805,76,0
F9,499,DEN,CAK,4,805,162,1
FL,618,MKE,MSY,4,805,135,0
HA,336,HNL,OGG,4,805,39,0
MQ,2938,GRK,DFW,4,805,50,0
MQ,3157,SAF,LAX,4,805,130,0
MQ,3886,ORD,MSP,4,805,85,1
MQ,4022,ORD,JAX,4,805,145,0
OH,6256,MSP,BNA,4,805,135,0
OH,6446,PHL,JFK,4,805,60,0
OO,4695,ORD,SLC,4,805,205,1
OO,6298,RNO,SFO,4,805,67,1
OO,6626,PSP,DEN,4,805,122,0
OO,6710,ORD,CVG,4,805,76,0
US,1457,CLT,FLL,4,805,119,0
US,1468,TPA,DCA,4,805,124,0
US,14,PHX,JFK,4,805,286,1
US,221,PHX,BOS,4,805,287,0
WN,1082,SAN,HOU,4,805,180,1
WN,1100,PVD,BWI,4,805,80,0
WN,1173,LAS,PHX,4,805,70,1
WN,1361,ELP,LAS,4,805,115,1
WN,1413,SJC,PHX,4,805,110,0
WN,1487,ALB,LAS,4,805,350,1
WN,1980,DEN,LAX,4,805,155,0
WN,2038,MDW,CMH,4,805,65,1
WN,2397,DAL,AUS,4,805,50,1
WN,23,HOU,HRL,4,805,60,1
WN,2794,OAK,SLC,4,805,100,1
WN,2903,AUS,DAL,4,805,55,0
WN,35,LIT,DAL,4,805,65,0
WN,3668,PHX,ONT,4,805,70,1
WN,382,SLC,LAS,4,805,80,1
WN,3836,LAX,LAS,4,805,65,0
WN,414,BWI,STL,4,805,145,0
WN,607,BUF,MDW,4,805,110,1
WN,770,ELP,PHX,4,805,75,1
WN,802,MDW,LAS,4,805,245,1
WN,857,ISP,MCO,4,805,170,1
XE,2213,IAH,XNA,4,805,85,0
YV,2980,PHX,OMA,4,805,159,0
HA,165,OGG,HNL,4,806,34,0
HA,302,HNL,ITO,4,806,52,1
OO,6288,MRY,LAX,4,806,68,0
OO,6502,ORD,DTW,4,806,76,1
OO,6718,XNA,DEN,4,806,123,0
OO,6726,JAC,DEN,4,806,74,1
UA,60,KOA,LAX,4,806,324,0
XE,5946,SDF,ORD,4,806,82,0
XE,5948,CLE,ORD,4,806,87,0
YV,7279,ORD,ATL,4,806,123,0
9E,3885,FNT,DTW,4,807,47,0
9E,4315,DAY,MSP,4,807,118,0
DL,1029,DAY,ATL,4,807,108,0
DL,242,MIA,DTW,4,807,188,0
DL,2650,SEA,SLC,4,807,114,1
DL,66,TPA,ATL,4,807,99,1
EV,7066,ORD,CAE,4,807,109,0
OO,6596,SFO,MFR,4,807,96,1
UA,193,LAS,SFO,4,807,106,0
UA,619,DCA,ORD,4,807,127,0
US,224,BOI,PHX,4,807,118,1
DL,2488,TPA,CVG,4,808,132,0
OO,6256,FAR,ORD,4,808,112,1
OO,6396,SFO,BUR,4,808,69,1
UA,292,SFO,MCO,4,808,315,0
XE,2165,BRO,IAH,4,808,74,0
B6,347,JFK,SRQ,4,809,182,1
B6,377,LGA,FLL,4,809,182,1
CO,301,EWR,FLL,4,809,179,0
CO,37,EWR,MCO,4,809,171,1
DL,1458,RSW,ATL,4,809,110,1
FL,1181,MCO,BUF,4,809,155,0
XE,2476,EWR,CVG,4,809,128,0
XE,2518,EWR,OMA,4,809,195,0
XE,2643,EWR,ATL,4,809,157,0
9E,3703,GRR,MSP,4,810,96,0
9E,3907,CMH,DTW,4,810,69,1
9E,4013,DCA,CVG,4,810,100,0
9E,4249,RIC,CVG,4,810,110,0
9E,4297,BUF,DTW,4,810,75,0
9E,4334,CVG,JAX,4,810,113,1
AA,1351,ORD,LAX,4,810,270,1
AA,1538,BUR,DFW,4,810,180,1
AA,1613,ORD,SFO,4,810,280,0
AA,162,HNL,LAX,4,810,330,0
AA,470,FAT,DFW,4,810,195,0
AA,476,MIA,MCO,4,810,60,0
AA,795,LGA,MIA,4,810,195,0
AA,804,DFW,IND,4,810,125,0
AA,902,MIA,DFW,4,810,195,1
AS,466,SEA,LAX,4,810,155,1
AS,467,LAX,SEA,4,810,155,1
AS,622,PDX,LAS,4,810,129,0
B6,506,FLL,EWR,4,810,183,1
CO,1500,FLL,EWR,4,810,185,0
CO,1790,IAH,MIA,4,810,146,0
CO,215,IAH,DFW,4,810,69,0
CO,32,MSY,IAH,4,810,75,0
CO,34,AUS,IAH,4,810,60,0
CO,366,SEA,IAH,4,810,249,1
CO,532,IAH,LGA,4,810,203,0
CO,549,SFO,EWR,4,810,325,0
DL,1083,RDU,ATL,4,810,93,0
DL,1384,LGA,BOS,4,810,65,0
DL,1387,BOS,LGA,4,810,72,0
DL,1409,MSP,DEN,4,810,129,0
DL,1693,SNA,ATL,4,810,259,0
DL,1903,ATL,LAS,4,810,270,0
DL,1914,SLC,BOI,4,810,70,0
DL,1927,ATL,FLL,4,810,110,0
DL,1954,ATL,JAX,4,810,69,1
DL,1998,ATL,MSP,4,810,162,0
DL,2001,BOS,ATL,4,810,173,0
DL,2087,ATL,RSW,4,810,99,0
DL,2211,ATL,DFW,4,810,145,1
DL,2318,MCO,ATL,4,810,96,1
DL,2462,LAX,JFK,4,810,330,0
DL,2700,MSP,BWI,4,810,150,1
EV,5177,ATL,CHA,4,810,48,0
EV,5317,ATL,BHM,4,810,54,0
EV,5464,OMA,DTW,4,810,119,0
EV,5521,ATL,AEX,4,810,104,0
FL,1042,FLL,CMH,4,810,160,0
FL,1949,MCO,ATL,4,810,93,0
FL,464,ATL,BWI,4,810,104,0
FL,778,LAS,ATL,4,810,230,0
HA,257,KOA,HNL,4,810,42,0
MQ,2822,DFW,TLH,4,810,120,0
MQ,2913,DFW,VPS,4,810,110,0
MQ,3080,LAX,SBA,4,810,40,0
MQ,3326,TYS,DFW,4,810,155,0
MQ,3644,MEM,MIA,4,810,145,0
MQ,3958,ORD,ROC,4,810,100,0
MQ,4262,RDU,ORD,4,810,140,0
MQ,4284,EVV,ORD,4,810,85,0
MQ,4309,SYR,ORD,4,810,130,0
MQ,4387,DCA,RDU,4,810,65,0
MQ,4585,LGA,CLT,4,810,120,0
MQ,4592,MSP,LGA,4,810,165,0
OH,6313,CVG,HTS,4,810,49,0
OH,6354,CVG,EVV,4,810,59,0
OH,6377,CVG,SDF,4,810,53,0
OH,6662,FWA,DTW,4,810,60,1
OH,6697,CVG,FWA,4,810,51,0
OO,4450,IDA,SLC,4,810,51,0
OO,4509,LAX,SAN,4,810,45,0
OO,4821,RDM,SLC,4,810,95,0
OO,6554,DEN,FAR,4,810,107,1
OO,6594,DEN,PIT,4,810,175,0
OO,6678,SFO,MRY,4,810,46,1
UA,758,DEN,ICT,4,810,82,0
US,1496,SFO,CLT,4,810,287,1
US,1538,SEA,CLT,4,810,281,1
US,1605,BOS,PHL,4,810,104,0
US,1880,MCO,DCA,4,810,123,0
US,2034,DCA,BOS,4,810,83,1
US,230,PHX,DTW,4,810,228,0
US,273,PHX,IAH,4,810,154,0
US,544,PHX,DFW,4,810,135,0
WN,1057,LAS,DEN,4,810,115,0
WN,1071,DEN,SNA,4,810,150,1
WN,1116,BDL,LAS,4,810,355,1
WN,151,SMF,SAN,4,810,85,1
WN,2049,HOU,LAS,4,810,205,1
WN,2697,MSY,HOU,4,810,70,0
WN,29,DAL,HOU,4,810,65,1
WN,30,HOU,DAL,4,810,55,1
WN,40,ECP,HOU,4,810,120,0
WN,41,ABQ,DAL,4,810,95,1
WN,611,PHX,SNA,4,810,75,0
WN,674,MCO,MHT,4,810,170,1
WN,675,MDW,PHX,4,810,240,1
WN,767,DAL,SAT,4,810,65,1
WN,793,JAN,HOU,4,810,80,0
XE,2154,LBB,IAH,4,810,92,0
XE,2225,OKC,IAH,4,810,84,0
XE,2330,MAF,IAH,4,810,86,0
XE,2487,LFT,IAH,4,810,57,0
XE,2592,IND,CLE,4,810,62,0
XE,2760,IAH,MSP,4,810,159,1
XE,2841,IAH,DAY,4,810,139,0
XE,2980,IAH,TYS,4,810,118,1
XE,3109,BTR,IAH,4,810,70,0
DL,1620,ATL,RIC,4,811,89,0
DL,420,ATL,PHX,4,811,257,0
EV,5206,CHA,ATL,4,811,58,0
OO,4804,FAT,SLC,4,811,101,1
OO,6346,SBP,SFO,4,811,61,1
OO,6937,DRO,DEN,4,811,60,0
9E,3922,SBN,DTW,4,812,63,1
9E,3988,MBS,DTW,4,812,53,0
DL,1732,PBI,ATL,4,812,113,1
FL,1102,CMH,RSW,4,812,153,0
OO,6909,OTH,SFO,4,812,117,0
XE,5997,CID,ORD,4,812,65,1
AS,61,CDV,ANC,4,813,47,0
EV,5310,AGS,ATL,4,813,67,0
FL,875,ATL,MSP,4,813,154,0
XE,2812,AMA,IAH,4,813,95,1
9E,3682,DLH,DTW,4,814,111,1
9E,3820,AZO,DTW,4,814,56,1
DL,1850,LAS,MSP,4,814,186,0
DL,1855,ATL,LAX,4,814,298,0
FL,105,ATL,DFW,4,814,147,0
9E,4003,MEM,OKC,4,815,101,0
9E,4124,CVG,EWR,4,815,126,0
AA,1004,MIA,DCA,4,815,145,1
AA,1192,DFW,ORF,4,815,160,0
AA,1587,DFW,AUS,4,815,55,1
AA,2435,ORD,PHX,4,815,235,1
AA,411,DFW,SNA,4,815,200,0
AA,439,RSW,DFW,4,815,175,0
AA,721,DFW,ELP,4,815,105,1
AA,732,DFW,LGA,4,815,205,0
AA,810,ORD,DCA,4,815,105,0
AS,575,SAN,PDX,4,815,154,1
CO,1128,EWR,BOS,4,815,65,0
CO,400,IAH,IND,4,815,141,0
CO,44,MIA,EWR,4,815,178,0
CO,786,IAH,MCO,4,815,130,0
DL,1590,ATL,SAV,4,815,63,0
DL,1745,DTW,MSP,4,815,113,0
DL,1951,ATL,MIA,4,815,109,0
DL,1970,ATL,BUF,4,815,122,0
EV,4944,CAK,DTW,4,815,70,1
EV,5001,ATL,BTR,4,815,97,0
EV,5005,MEM,DEN,4,815,155,1
EV,5016,ATL,CAE,4,815,58,0
EV,5095,ATL,BNA,4,815,66,0
EV,5337,ATL,DHN,4,815,56,0
EV,5494,ATL,TUL,4,815,129,0
EV,5550,ATL,AGS,4,815,54,0
MQ,3234,ACT,DFW,4,815,45,0
MQ,3344,DFW,PNS,4,815,100,1
MQ,3963,ORD,BNA,4,815,90,0
MQ,4064,ORD,CLE,4,815,80,0
MQ,4430,RDU,DCA,4,815,55,0
OH,6371,ATL,LEX,4,815,72,0
OH,6546,PIT,DTW,4,815,70,0
OH,6555,MEM,BWI,4,815,124,1
OO,4642,OKC,SLC,4,815,144,0
OO,4836,MEM,DFW,4,815,102,0
OO,6534,IDA,DEN,4,815,89,1
UA,44,OGG,LAX,4,815,330,0
UA,570,ORD,CLE,4,815,86,0
US,1580,LAX,CLT,4,815,268,1
US,1702,TPA,CLT,4,815,97,0
US,630,PHX,PIT,4,815,229,0
US,683,SLC,PHX,4,815,95,0
WN,1109,MCO,LAS,4,815,325,0
WN,1255,ABQ,PHX,4,815,75,0
WN,1279,BWI,BDL,4,815,65,1
WN,1370,MCI,OAK,4,815,245,0
WN,1458,LAS,SAT,4,815,160,0
WN,1657,DEN,SLC,4,815,90,1
WN,1678,RNO,SEA,4,815,115,1
WN,1761,RSW,STL,4,815,160,1
WN,215,PHX,BUR,4,815,85,0
WN,264,TPA,FLL,4,815,60,0
WN,288,MCI,DAL,4,815,90,1
WN,3341,HOU,MDW,4,815,145,1
WN,680,SJC,PDX,4,815,105,0
WN,903,HOU,OKC,4,815,80,1
XE,2472,IAH,JAX,4,815,123,0
XE,2791,IAH,CVG,4,815,135,0
OO,6603,DEN,ABQ,4,816,74,0
OO,7026,LAX,FAT,4,816,69,0
UA,212,GEG,DEN,4,816,129,0
UA,366,LAS,IAD,4,816,269,1
UA,446,MCI,ORD,4,816,90,0
DL,379,BUF,ATL,4,817,136,0
EV,5454,ECP,ATL,4,817,72,1
FL,908,ATL,PHF,4,817,91,0
OH,6369,CVG,ATL,4,817,108,0
UA,523,FSD,DEN,4,817,108,1
AS,62,KTN,SEA,4,818,112,0
DL,1890,ATL,STL,4,818,102,0
UA,735,OKC,DEN,4,818,106,0
XE,3062,JAX,EWR,4,818,138,0
CO,1562,IAH,RSW,4,819,127,0
DL,2492,STL,ATL,4,819,98,0
FL,531,MEM,ATL,4,819,76,0
HA,370,OGG,KOA,4,819,32,1
OO,4845,OMA,SLC,4,819,155,0
OO,6845,SFO,SBA,4,819,82,1
9E,3714,DSM,DTW,4,820,115,0
9E,3742,ORF,JFK,4,820,105,1
9E,4041,MEM,TUL,4,820,86,0
9E,4140,CID,DTW,4,820,97,0
9E,4277,MEM,AMA,4,820,120,0
9E,4317,MEM,LBB,4,820,120,0
AA,1180,DFW,RIC,4,820,155,0
AA,1371,DFW,XNA,4,820,65,0
AA,1506,MIA,BOS,4,820,185,1
AA,1517,SAT,DFW,4,820,70,0
AA,2331,ORD,DFW,4,820,150,0
AA,5,DFW,HNL,4,820,520,0
AA,855,FLL,DFW,4,820,195,0
AS,858,OGG,SEA,4,820,333,0
B6,435,BOS,MCO,4,820,193,1
B6,71,JFK,TPA,4,820,180,1
CO,1578,SAT,IAH,4,820,59,1
CO,1883,STT,EWR,4,820,268,0
DL,1147,ATL,PBI,4,820,105,1
DL,1247,ATL,CLT,4,820,69,0
DL,1424,ATL,BWI,4,820,105,0
DL,1584,SNA,JFK,4,820,315,0
DL,2186,ATL,LGA,4,820,135,0
DL,2234,ATL,IAD,4,820,110,0
DL,2294,ATL,PHL,4,820,129,1
DL,2519,MDW,ATL,4,820,117,0
DL,2543,EWR,ATL,4,820,150,1
DL,2760,MIA,ATL,4,820,120,0
EV,5204,ATL,TLH,4,820,65,0
FL,264,DCA,MKE,4,820,125,1
MQ,4081,ORD,IND,4,820,60,0
MQ,4593,LGA,RDU,4,820,105,0
OH,6321,JFK,DCA,4,820,100,0
OH,6363,CVG,MCI,4,820,125,0
OH,6497,MEM,AUS,4,820,122,0
OH,6682,CVG,OMA,4,820,130,0
OH,6759,CVG,ORD,4,820,80,1
OO,6649,DEN,RKS,4,820,76,0
OO,7776,SLC,RKS,4,820,59,0
UA,700,SJU,IAD,4,820,240,0
US,1028,PHL,MCO,4,820,152,1
US,1094,PHL,RDU,4,820,79,0
US,1197,PHL,PHX,4,820,316,0
US,740,SJU,PHL,4,820,244,0
US,750,MIA,PHL,4,820,173,0
US,953,PHL,CLT,4,820,110,0
WN,1015,PVD,MCO,4,820,190,1
WN,1138,JAX,BHM,4,820,75,0
WN,1590,MCI,BWI,4,820,140,1
WN,2198,BWI,SLC,4,820,305,1
WN,2254,LAS,BUR,4,820,65,1
WN,225,STL,MCI,4,820,65,1
